,categories_hierarchy,mega_cat
554,'en:fruits-and-vegetables-based-foods',['HORTALIZAS' 'FRUTAS']
555,'en:fruits-based-foods',['FRUTAS']
556,'en:fruits-cereal-bars',['FRUTAS' 'CEREALES']
557,'en:fruits-in-syrup',['FRUTAS']
558,'en:fusilli',[nan]
559,'en:garlic',[nan]
560,'en:garlic-and-their-products',[nan]
561,'en:garlic-powder',[nan]
562,'en:gazpacha-marinated-green-olives',['HORTALIZAS']
563,'en:gazpacho',[nan]
564,'en:gelatin',[nan]
565,'en:gelified-candies',[nan]
566,'en:german-chamomile',['CARNE']
567,'en:german-sausages',['CARNE']
568,'en:gherkins',[nan]
569,'en:ginger',[nan]
570,'en:ginger-powder',[nan]
571,'en:glazes-with-vinegar',[nan]
572,'en:gluten-free-biscuits',['CEREALES']
573,'en:gluten-free-breads',['CEREALES']
574,'en:gluten-free-sliced-breads',['CEREALES']
575,'en:goat-cheeses',['LACTEOS']
576,'en:goat-milks',['LACTEOS']
577,'en:gofio',[nan]
578,'en:gold-flax-seeds',['LEGUMBRES']
579,'en:gorgonzolas',[nan]
580,'en:grana-padano',[nan]
581,'en:granizados',[nan]
582,'en:granulated-sugars',['LIPIDOS']
583,'en:grapefruit-juices',['FRUTAS']
584,'en:grated-carrots',['HORTALIZAS']
585,'en:grated-cheese',['LACTEOS']
586,'en:grated-emmentaler',[nan]
587,'en:greek-cheeses',['LACTEOS']
588,'en:greek-yogurts',['LACTEOS']
589,'en:green-beans',['LEGUMBRES']
590,'en:green-cracked-olives',['HORTALIZAS']
591,'en:green-olives',['HORTALIZAS']
592,'en:green-olives-stuffed-of-anchovies',['HORTALIZAS']
593,'en:green-olives-stuffed-of-lemon',['HORTALIZAS' 'FRUTAS']
594,'en:green-olives-stuffed-of-peppers',['LEGUMBRES' 'HORTALIZAS']
595,'en:green-peas',[nan]
596,'en:green-peppercorns',['CEREALES']
597,'en:green-peppers',['LEGUMBRES']
598,'en:green-pestos',[nan]
599,'en:green-pitted-olives',['HORTALIZAS']
600,'en:green-stuffed-olives',['HORTALIZAS']
601,'en:green-teas',['BEBIDAS']
602,'en:groceries',[nan]
